[2025-06-04T08:07:35.620Z] [SYSTEM] 🚀 Moonshot Trader starting...
[2025-06-04T08:07:35.744Z] [SYSTEM] 🌐 Server listening on port 4000
[2025-06-04T08:07:36.832Z] [WATCHLIST] 📥 poohtoks | Age: 59s | MC: $107900 | Holders: 21 | 6hvXSzHaDSFh4HRkDoNJwBY88TKhtjYBGrbpVssjCa8e-graduated
[2025-06-04T08:07:36.834Z] [WATCHLIST] 📥 Takuya | Age: 15s | MC: $1600 | Holders: 2 | ECeo99JM3Su1wZEZ1Rpomu2STWhk7BsotVB6AGz6pump
[2025-06-04T08:07:36.836Z] [WATCHLIST] 📥 CYBO | Age: 5s | MC: $284 | Holders: 3 | BbPGr12vFDuUStBUnAvi8L9Xb1A2WQrPSraRdJ9Apump
[2025-06-04T08:07:36.837Z] [WATCHLIST] 📥 birb | Age: 4s | MC: $597 | Holders: 5 | CRfMCAbG8eQWuk3ZJ2UMw9mU7CkkzJWJqrPo7XjLpump
[2025-06-04T08:07:36.838Z] [WATCHLIST] 📥 PawRolana | Age: 4s | MC: $0 | Holders: 0 | 4jzcWyPceSRqEAtPPPghnVNvnZgyNDiQJacStptjpump
[2025-06-04T08:07:36.838Z] [WATCHLIST] 📥 Rumb | Age: 0s | MC: $405 | Holders: 1 | 94FTkeCWcXGbYyTrwRzxSiEouNqxMgLZ9HQXxBsUpump
[2025-06-04T08:07:36.839Z] [WATCHLIST] 📥 Ditology | Age: 18s | MC: $3600 | Holders: 86 | yocyYXh9tLn1ZA7cgyG9qo6i1bNJKr9NvWSX8Mqpump
[2025-06-04T08:07:36.840Z] [WATCHLIST] 📥 Ditosophy | Age: 12s | MC: $1400 | Holders: 2 | 3FWJbRF3ak5si82x9QvnEfx7uf9zTthwreKcaVU6pump
[2025-06-04T08:07:36.841Z] [WATCHLIST] 📥 SSL | Age: 9s | MC: $423 | Holders: 1 | A3M4Jj4Z4p16Nj3Rjy51YdtvnFdcw8DAW9aqoiampump
[2025-06-04T08:07:36.842Z] [WATCHLIST] 📥 GAYYGEON | Age: 9s | MC: $155 | Holders: 1 | 2jtDVcAxCNtvTRQgvtS8RuB7LtLi5csmKs5hEeQBpump
[2025-06-04T08:07:36.843Z] [WATCHLIST] 📥 afrog | Age: 5s | MC: $3100 | Holders: 14 | FEyMv6TsGn4whiRjCbK9DmeGEskjhp82vckLRzQT1D3N
[2025-06-04T08:07:36.843Z] [WATCHLIST] 📥 11 FLIPS | Age: 3s | MC: $625 | Holders: 2 | 4GAc9SE5wCHhnqGe5oSJnkihDok83AZUWRW2CzG4pump
[2025-06-04T08:07:36.844Z] [WATCHLIST] 📥 +1 | Age: 3s | MC: $325 | Holders: 2 | 2KLJV1CurL5b3skWA691h9EWwQbTbir4RzPrh4uKpump
[2025-06-04T08:07:36.845Z] [WATCHLIST] 📥 felipe | Age: 1s | MC: $388 | Holders: 2 | FHe1i8LQsMv4xVJynMMtcEmuemquwfEQaKA2TJWVpump
